"chemostat","time","prev0","logit_g","logit_prev"
"chem_epidemic_1",1,1,0.0266067015594391,-4.57480303944123
"chem_epidemic_1",2,1,0.296268457719869,-4.32055425100556
"chem_epidemic_1",3,1,1.03843990047943,-3.41762425256928
"chem_epidemic_1",4,1,1.72088749724578,-1.98343662640056
"chem_epidemic_1",5,1,1.95978659482387,-0.473734749227084
"chem_epidemic_1",6,1,1.47599220469975,0.726259864501285
"chem_epidemic_1",7,1,0.619756468869342,1.59904437273919
"chem_epidemic_1",8,1,0.221588844194282,2.30012521695682
"chem_epidemic_1",9,1,0.153048809222563,2.70094315355145
"chem_epidemic_1",10,1,0.103695283469332,2.86806727400306
"chem_epidemic_1",11,1,0.0891846811923745,2.94980964898302
"chem_epidemic_1",12,1,0.0900879646468672,2.97440229473408
"chem_epidemic_1",13,1,0.0756941841062583,3.00167956005459
"chem_epidemic_1",14,1,0.038785759881484,3.02649157941937
"chem_epidemic_1",15,1,0.0279029496394535,3.04951357314748
"chem_epidemic_1",16,1,0.00996695576261862,3.1041748305972
"chem_epidemic_1",17,1,0.0122472333173294,3.12345461165909
"chem_epidemic_1",18,1,-0.00106328729370634,3.13145015981902
"chem_epidemic_1",19,1,-0.0122220292614313,3.19093934984995
"chem_epidemic_1",20,1,-0.0234970311928894,3.21199874035209
"chem_epidemic_1",21,1,-0.048192695735693,3.2387410881389
"chem_epidemic_1",22,1,-0.0652633030968844,3.27977088477059
"chem_epidemic_1",23,1,-0.05820720578096,3.30403382300512
"chem_epidemic_1",24,1,-0.0741088142581371,3.33914808613783
"chem_epidemic_1",25,1,-0.109850891515051,3.37212559612915
"chem_epidemic_1",26,1,-0.108845912304411,3.39324412570436
"chem_epidemic_1",27,1,-0.129984622882813,3.45002250429528
"chem_epidemic_1",28,1,-0.154858987871311,3.47451395726995
"chem_epidemic_1",29,1,-0.145772385887457,3.49274046065173
"chem_epidemic_1",30,1,-0.161183750979629,3.54761174868105
"chem_epidemic_1",31,1,-0.174479468935433,3.57010432036635
"chem_epidemic_1",32,1,-0.184454644114958,3.59347339867149
"chem_epidemic_1",33,1,-0.190898311688683,3.63578207216273
"chem_epidemic_1",34,1,-0.210770325927826,3.66584487470275
"chem_epidemic_1",35,1,-0.232090677692961,3.69534169386994
"chem_epidemic_1",36,1,-0.246371141120365,3.72390768812939
"chem_epidemic_1",37,1,-0.253434941117864,3.75229221350554
"chem_epidemic_1",38,1,-0.26210756145693,3.77570516587835
"chem_epidemic_1",39,1,-0.288692519235374,3.80267840660034
"chem_epidemic_1",40,1,-0.29322406244199,3.83119245875328
"chem_epidemic_1",41,1,-0.294790935270021,3.85715737958847
"chem_epidemic_1",42,1,-0.318626516673853,3.89098334792514
"chem_epidemic_1",43,1,-0.337605597348233,3.90921995728383
"chem_epidemic_1",44,1,-0.346456173336619,3.97223064601228
"chem_epidemic_1",45,1,-0.345623308327628,3.99114597854275
"chem_epidemic_1",46,1,-0.364340248774654,3.99622090266988
"chem_epidemic_1",47,1,-0.370542725247096,4.03167129395772
"chem_epidemic_1",48,1,-0.394585274212364,4.05914635237382
"chem_epidemic_1",49,1,-0.404938317267247,4.09959194066661
"chem_epidemic_1",50,1,-0.427688566936524,4.11880654099519
"chem_epidemic_1",51,1,-0.429111400196795,4.1498917885725
"chem_epidemic_1",52,1,-0.453287793517081,4.17466374427568
"chem_epidemic_1",53,1,-0.475487766552063,4.20198509879232
"chem_epidemic_1",54,1,-0.473058195073039,4.24344009011642
"chem_epidemic_1",55,1,-0.467934040875962,4.25471392870331
"chem_epidemic_1",56,1,-0.492436306146372,4.2992328068802
"chem_epidemic_1",57,1,-0.501844331253502,4.29555746098817
"chem_epidemic_1",58,1,-0.522958291601772,4.34374992940609
"chem_epidemic_1",59,1,-0.545681019396309,4.3658844968983
"chem_epidemic_1",60,1,-0.554665115251615,4.39343229581671
"chem_endemic_1",1,100,-0.0098578689957226,4.61278179945943
"chem_endemic_1",2,100,-0.0244533050064747,4.63857008128173
"chem_endemic_1",3,100,-0.0259370817287993,4.67607125179237
"chem_endemic_1",4,100,-0.0581150077165952,4.70274832898445
"chem_endemic_1",5,100,-0.0505795597954565,4.73400502841799
"chem_endemic_1",6,100,-0.0636697929992746,4.77850475153332
"chem_endemic_1",7,100,-0.0973478755487592,4.81008135158738
"chem_endemic_1",8,100,-0.0920073810042646,4.83587401592484
"chem_endemic_1",9,100,-0.0871351211921057,4.87405092249001
"chem_endemic_1",10,100,-0.130041234919899,4.91462060103317
"chem_endemic_1",11,100,-0.129049507109321,4.91834540945878
"chem_endemic_1",12,100,-0.15834846182261,4.92916521889515
"chem_endemic_1",13,100,-0.152446013248503,4.99119246755247
"chem_endemic_1",14,100,-0.17408056687237,5.00280506676897
"chem_endemic_1",15,100,-0.173084477259337,5.03166690074648
"chem_endemic_1",16,100,-0.217217367185802,5.0773431260931
"chem_endemic_1",17,100,-0.216163934017094,5.09267237174336
"chem_endemic_1",18,100,-0.233942808772282,5.11163915721947
"chem_endemic_1",19,100,-0.243668145678841,5.15388015663976
"chem_endemic_1",20,100,-0.261012588969725,5.17879440852046
"chem_endemic_1",21,100,-0.276075929807462,5.20825334386996
"chem_endemic_1",22,100,-0.274970371901351,5.23995777631796
"chem_endemic_1",23,100,-0.304652933467666,5.26020520735111
"chem_endemic_1",24,100,-0.291955795490819,5.29806062334806
"chem_endemic_1",25,100,-0.331676614828276,5.31701588864785
"chem_endemic_1",26,100,-0.331821684456141,5.35004193342139
"chem_endemic_1",27,100,-0.340520009387847,5.38509593136533
"chem_endemic_1",28,100,-0.352999490288813,5.40578344591918
"chem_endemic_1",29,100,-0.374900782147704,5.42537765234035
"chem_endemic_1",30,100,-0.384104312511517,5.46723220561278
"chem_endemic_1",31,100,-0.388302267228562,5.49268872216804
"chem_endemic_1",32,100,-0.42549471722677,5.51515016209048
"chem_endemic_1",33,100,-0.431762190732084,5.53886952859153
"chem_endemic_1",34,100,-0.433755105051462,5.55692322810928
