"chemostat","time","prev0","wildtype","cI857","q","free_virus","logit_q","cI857col"
"chem1",1,1,18745,48270.65,0.724186905352322,67015.65,0.966585354707238,"CFP"
"chem1",2,1,21574,67730,0.760008757509892,89304,1.15415611886821,"CFP"
"chem1",3,1,12397,244870,0.951720122540057,257267,2.98172929742486,"CFP"
"chem1",4,1,27922,2865500,0.990223453080175,2893422,4.62765876119221,"CFP"
"chem1",5,1,12627,4225310,0.997016205109712,4237937,5.81513774407244,"CFP"
"chem1",6,1,44160,47046300,0.999056419040645,47090460,6.99066412636052,"CFP"
"chem1",7,1,NA,NA,NA,NA,NA,"CFP"
"chem1",8,1,NA,NA,NA,NA,NA,"CFP"
"chem1",9,1,NA,NA,NA,NA,NA,"CFP"
"chem1",10,1,NA,NA,NA,NA,NA,"CFP"
"chem1",11,1,NA,NA,NA,NA,NA,"CFP"
"chem1",12,1,572700,400128000,0.998561041965199,400700700,6.54671389332312,"CFP"
"chem1",13,1,NA,NA,NA,NA,NA,"CFP"
"chem1",14,1,2438000,172711500,0.986249142557767,175149500,4.27922165064367,"CFP"
"chem1",15,1,745200,72132450,0.987048064551975,72877650,4.42572396557435,"CFP"
"chem1",16,1,NA,NA,NA,NA,NA,"CFP"
"chem1",17,1,NA,NA,NA,NA,NA,"CFP"
"chem1",18,1,NA,NA,NA,NA,NA,"CFP"
"chem1",19,1,NA,NA,NA,NA,NA,"CFP"
"chem1",20,1,NA,NA,NA,NA,NA,"CFP"
"chem1",21,1,7.498e-09,NA,NA,NA,NA,"CFP"
"chem1",22,1,NA,NA,NA,NA,NA,"CFP"
"chem1",23,1,NA,NA,NA,NA,NA,"CFP"
"chem1",24,1,NA,NA,NA,NA,NA,"CFP"
"chem1",25,1,183080,6408300,0.968439537322771,6617140,3.42378089558939,"CFP"
"chem1",26,1,236440,4785385,0.952241350691803,5021825,2.99503872254572,"CFP"
"chem1",27,1,311190,2909785,0.902414729008245,3220975,2.22846211813358,"CFP"
"chem1",28,1,359490,1062840,0.746748170011299,1422330,1.08586965557785,"CFP"
"chem1",29,1,223560,1383255,0.860696250218191,1606815,1.82518187694955,"CFP"
"chem1",30,1,176640,557470,0.760602497527926,734110,1.15895965811499,"CFP"
"chem1",31,1,113160,505370,0.81391186920939,618530,1.49144071139919,"CFP"
"chem1",32,1,199180,543403,0.730183771849114,742583,1.01276955081886,"CFP"
"chem1",33,1,45747,797130,0.946692216412371,842877,2.88028882671117,"CFP"
"chem1",34,1,47518,617385,0.929036046438029,664903,2.57996568175025,"CFP"
"chem1",35,1,25300,533504,0.954515439601163,558804,3.05846741233283,"CFP"
"chem1",36,1,25323,677300,0.964031073105645,702623,3.29385727595618,"CFP"
"chem1",37,1,43148,1495270,0.980218244369188,1525446,3.90301516507385,"CFP"
"chem1",38,1,43539,1344180,0.968459531948533,1387719,3.42750419882262,"CFP"
"chem1",39,1,50945,1536950,0.978188923257087,1571220,3.80328487621858,"CFP"
"chem1",40,1,54970,995891.5,0.928941010102564,1050861.5,2.76636184052004,"CFP"
"chem1",41,1,64170,1724510,0.959951377841027,1788680,3.2483361317888,"CFP"
"chem1",42,1,83030,2907180,0.971364425138745,2990210,3.54121799185419,"CFP"
"chem1",43,1,79120,4785385,0.983115691532519,4864505,4.13005281003155,"CFP"
"chem1",44,1,202170,7658700,0.970747845392504,7860870,3.81298715471141,"CFP"
"chem2",1,1,7137.7,44620,0.862505540150664,51757.7,1.8374914531007,"YFP"
"chem2",2,1,6942.325,33212,0.830132736104379,40154.325,1.59214251675567,"YFP"
"chem2",3,1,5720.58,102350,0.947166473024295,108070.58,2.89530977219271,"YFP"
