"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","b","r","tau","sigma_prev","sigma_g","sigma_q"
1,1500.1004014001,"Successful completion",0.0101499812876424,0.996959246412232,0.400873573636985,0.354014232338539,0.100400114849933,0.0885709998982296,1.20701157010381,0.501111953462892,1.54826458025304,0.534149341921996,0.938549108251571
2,1484.66904986724,"Successful completion",0.019985531616191,0.995569544143487,0.417468371179312,0.519723935452467,0.114306338266163,0.102786341118677,5,0.5,2,0.550097145156496,0.810539444049756
3,1461.14328906411,"Successful completion",0.02,0.996041996328626,0.40000000000001,0.502021680753178,0.11886664083501,0.0526907681559663,0.900714600816041,1.02137407021002,1.54478402399957,0.548327265299318,0.807000804814174
4,1604.38471367456,"Successful completion",0.0199919738121013,0.99574577700078,0.412323567847328,0.584551187530454,0.120635317282836,0.0928844505153716,1.62754016933303,0.50314347412667,1.52418002808776,0.542218076527614,1.99999744774864
5,1445.49360002728,"Successful completion",0.00434650358729829,0.995913976975994,0.415643942653091,0.364687601372466,0.0310201753276894,0.0760302817668947,4.99995639831715,0.677991253730235,1.54709865518347,0.530401358594717,0.826563130468729
6,1439.59798204213,"Maximum number of evaluations exceeded",0.00422891683684773,0.996341761477289,0.4,0.317966661156294,0.0290048595750769,0.0323452138467959,0.782044385789142,1.85620599468922,1.5136174384582,0.523578243066697,0.825941519580026
7,1444.5997781969,"Successful completion",0.00474027822576424,0.995736935290187,0.400000000002662,0.387037004221725,0.0338734977760395,0.0927612967124458,4.99996716781579,0.526069983787364,1.50015235924254,0.526175614903805,0.844187878454883
8,1460.40121177584,"Successful completion",0.0199463426627631,0.995835861020906,0.400000040612446,0.524169960747611,0.117900853307832,0.0723652632975624,1.42484059262333,0.70795179366085,1.54065508827861,0.546792894442424,0.816182161565073
9,1684.18414112419,"Successful completion",0.00105154148749125,0.994100093978659,0.400019581614058,0.686123344484521,0.671139693382541,0.0784261775130948,4.99999999996412,3.99999124489721,1.61551544236566,0.588519088576278,1.99999999696524
10,1664.45526892709,"Successful completion",0.0199574340022561,0.995456577529578,0.59999502506527,0.41671440979947,0.0707419297083353,0.0940864618056393,4.9994780569172,0.502870193864633,1.99999472970274,0.776688744614848,0.922876697333087
11,1463.55855219994,"Maximum number of evaluations exceeded",0.02,0.995627177686268,0.4,0.532307732654605,0.116857547236084,0.101744101800284,4.99999999999995,0.5,1.5279250981882,0.545664233014074,0.823471192433004
12,1459.9586336446,"Successful completion",0.0199884378431774,0.995633522530254,0.418613774395763,0.520610955476735,0.11339190273015,0.09561560764512,3.1552504246514,0.529242270233761,1.53455106584544,0.54931304224973,0.808853587100388
13,1465.69376207069,"Successful completion",0.00467963302010589,0.995681158056386,0.412590094474678,0.382509619055945,0.0323922248877179,0.0806232221439527,2.47448810406596,0.598477814162173,1.99925264148045,0.519923417390779,0.835658718183567
14,1444.47598909066,"Successful completion",0.00478428544204771,0.995758362779495,0.401147820945991,0.388606667261298,0.0340755678793001,0.0964409627561654,4.99999829990671,0.500156994245943,1.50059999400854,0.525154101825175,0.846516652287706
15,1607.43752552471,"Successful completion",0.0199999982964353,0.994339667591755,0.400000000020201,0.674772936961329,0.642541272245865,0.0738389821471715,4.99999952353279,3.99999999190914,1.68267457386298,0.589636700653852,1.05731529268144
16,1650.42272122271,"Successful completion",0.0199978757805408,0.993392028956202,0.400000578122995,0.641407175644377,0.5779339217592,0.199999999999814,4.99999999998834,0.500000006832811,1.99993355054444,0.583119127044883,1.15929497314703
17,1661.39260895426,"Successful completion",0.00405399251001625,0.995504967112265,0.59999999999813,0.278896114515269,0.0232086043894184,0.0936802700739819,4.9798387667228,0.500000005073101,1.99888462813673,0.767027683788821,0.950328744823009
