"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","b","r","tau","sigma_prev","sigma_g","sigma_q"
1,1909.39844160212,"Successful completion",0.0199412365790667,0.992500370924143,0.423473783876568,0.808230483091129,0.787635280620018,0.117635386645782,0.734587162995249,3.94410487579567,1.62895829827941,1.99857866550109,1.07123513397438
2,1596.34282766721,"Successful completion",0.018480076205021,0.994858443713287,0.417288697691181,0.590937935654283,0.505322476395561,0.153869892339905,0.739618456721881,0.513929172570508,1.49904034793432,0.585081782281707,1.15300088241259
3,1632.73154235436,"Successful completion",0.0199141958377539,0.987591179750879,0.414952866406167,0.874867063513243,0.864642524334751,0.168122158399787,0.73415610400554,3.99968480133286,1.99993674393844,0.614587588840392,1.08316992248499
4,1446.46660049809,"Successful completion",0.00549918650896105,0.995524146203877,0.400000456476934,0.421942219720105,0.0364448414507283,0.0991351367589975,4.99993404506274,0.500130239052781,1.51759407020048,0.528041183861495,0.847153101193197
5,1462.04203381041,"Successful completion",0.0199999001329034,0.995572357778032,0.418453741497531,0.532718777749281,0.112863651561645,0.103529899306044,4.79476233083524,0.50113777614543,1.53430147901465,0.551755190418815,0.814636079318838
6,1490.83379843147,"Successful completion",0.0193108465357333,0.995343097581242,0.463814612662027,0.408628522524219,0.117085341037267,0.100406992175295,4.85404977296344,0.520016169177097,1.51517234581259,0.592719775299561,0.87202406418699
7,1461.73054307764,"Successful completion",0.019999998020412,0.995800799718833,0.400000000368559,0.532247131287043,0.118422604318514,0.0727549463775141,1.5852318143908,0.757023144539257,1.53908804491728,0.549105778973734,0.815539878720246
8,1604.1543136439,"Successful completion",0.0186185233638715,0.995733783104494,0.40001362105942,0.546965670832138,0.118846509833609,0.096741673272843,2.08267285048217,0.514352632502411,1.52218953015444,0.546616445620724,1.99232795073485
9,1686.1302896392,"Successful completion",0.0199999999994134,0.994440799063728,0.411015396832976,0.679722868339274,0.648760751207178,0.0750813566027944,4.95104183230154,3.83217328442385,1.99999999776693,0.583830852291291,1.87605880434482
10,1768.83067303761,"Successful completion",0.00126793455433021,0.993981502705784,0.599231185049484,0.579793313202417,0.572254292107511,0.0679946865483907,4.99418236074773,3.98921725537106,1.66871248910607,0.81356107682423,1.19363763732742
11,1485.30361696252,"Successful completion",0.0199683052614237,0.995566348571178,0.41732913322541,0.53047185316931,0.114110123088083,0.104465705760019,4.8242546466358,0.506802217115238,1.99833880880316,0.550543572816735,0.810830237524074
12,1515.231715566,"Successful completion",0.02,0.995652954852921,0.4,1,0.108289871223764,0.10092124564993,4.99997983732129,0.5,1.52212256713737,0.548095099540419,0.98446414365572
13,1443.33360453763,"Successful completion",0.0048710119025797,0.995697231737948,0.415675051264645,0.396296360017357,0.0335442686717288,0.0970581908951928,4.56408993620638,0.509667118159074,1.50100141836497,0.525171467828684,0.842920293511206
14,1437.81982673962,"Maximum number of evaluations exceeded",0.00422518461856725,0.996273692045917,0.416626612670322,0.350247494221034,0.029014171667253,0.0467506159206763,1.61628890460168,1.24610431876466,1.50252031504151,0.520639356736435,0.827702630228755
15,1608.98825347822,"Successful completion",0.00102847656487655,0.994653038971944,0.404563728363618,0.594159364997704,0.569021007572081,0.0682256529039677,4.95210483790825,3.99776307157119,1.63047246639607,0.586479697590625,1.1080061863231
16,1613.11419701641,"Successful completion",0.0198901653741747,0.993082499498071,0.432568871233486,0.696490541768383,0.641504380329439,0.199863843538398,0.737044443371753,0.525700109542358,1.5696424032812,0.596659395819373,1.14485099787524
17,1603.39028042225,"Successful completion",0.0199135558127329,0.994539662435246,0.403109754140779,0.647206986222901,0.608617408934127,0.0705494780088977,4.99994082751105,3.99412890200394,1.67832349448794,0.586566143428985,1.05380286422788
18,1513.61845702011,"Successful completion",0.019996643347249,0.995818731327783,0.400534528200108,0.999999775801285,0.108930740309753,0.07697188088118,1.49706333031663,0.661087772093123,1.53324679979242,0.544107976761018,0.985341749507137
19,1638.98964596051,"Successful completion",0.0199996964688067,0.995728022485454,0.599953263901401,0.386392461903127,0.0758687120905975,0.060329713366315,1.32838409071888,0.848177778019792,1.58878473291268,0.755933365573689,0.929214488169168
20,1515.23165008562,"Successful completion",0.019999999950857,0.995651418334747,0.400000000873757,0.999999744381476,0.108323989459259,0.100931305446979,4.99999677842529,0.50000037456058,1.52264027880494,0.548099030514348,0.98466887257791
21,2013.92654290296,"Successful completion",0.019999999985505,0.993433259804931,0.400000039978671,0.999999999999998,0.570167251893989,0.199999999971261,4.97434903343179,0.5,1.99999632651898,1.15352842031025,1.50407841692435
22,1606.11261051903,"Successful completion",0.0199985167921089,0.995683615952849,0.412945319232836,0.595792605845487,0.120332410515781,0.0981177170475974,1.98945475900572,0.501420406565992,1.52280914317251,0.54503325752082,1.9999897053868
23,1642.68167159711,"Successful completion",0.0199916826793709,0.995648961897892,0.598795720018671,0.434562937061171,0.0711050669689081,0.0743881532099952,4.99967995522961,0.698023904395059,1.51921836755605,0.772006194683562,0.936517990285796
24,1678.11858132364,"Successful completion",0.00107423531187299,0.994469209880633,0.416630153956569,0.691344007722806,0.672847756103554,0.0849793465225693,0.778885133997801,3.66888272104899,1.68211487607914,0.586538987126209,1.99973713412113
25,1667.94537920082,"Successful completion",0.00242536606577174,0.996008784212343,0.420644896377345,6.42417950085885e-06,0.0198468530512455,0.0362145481235403,4.99751348229697,3.99977890915328,1.99922855774175,0.572801828445596,1.21873709499088
26,1642.40802692579,"Successful completion",0.0199424866809489,0.993439748541204,0.400000000001648,0.649601108121914,0.587808774375977,0.2,4.99999999613952,0.500000052971593,1.67889903916413,0.593529323795748,1.17749523908416
27,1703.85385571753,"Successful completion",0.00935725727427456,0.992680792728605,0.475649660008379,0.894551635079479,0.894214319984035,0.19092463767999,0.73371727720115,3.86492982676469,1.7741935096453,0.544452105924852,1.20242114020407
28,1458.84683345215,"Maximum number of evaluations exceeded",0.0196744764318496,0.995732858769524,0.418049240900504,0.527536679865104,0.111957753626216,0.0815630191242655,1.88578111124436,0.650681888610368,1.53653746448668,0.547963851785977,0.81403880258697
29,1601.44497105915,"Successful completion",0.0029406416137999,0.992339909992972,0.403595008524881,0.796224829117714,0.782893159562165,0.119160406563167,0.734697663734603,3.97016455470309,1.58268574374047,0.59026511628436,1.11383887571546
30,1631.00818785955,"Successful completion",0.0062291453267162,0.995445518080791,0.599999766114486,0.333096319013154,0.0273051456793026,0.0948240656530443,4.99999581814353,0.50022278988555,1.50013887730217,0.765558791623011,0.941508676123678
