"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","a","b","tau","sigma_prev","sigma_g","sigma_q"
1,1809.55719916211,"Successful completion",0.00548800330453509,0.995761808775182,0.400078095322816,0.388895079152047,0.0278847349316047,4.93724308753175e-07,0.0759278145386364,0.720993455370737,1.99999999998335,1.99999518237271,0.781069770892898
2,1444.81518349422,"Maximum number of evaluations exceeded",0.00474634235034837,0.995713254326884,0.4,0.390430193203165,0.0338479822687188,9.38507156266796e-07,0.0968316878525175,0.5,1.4996419466455,0.525360791197038,0.847024803274951
3,1484.61487145434,"Successful completion",0.019999810541926,0.99558679724482,0.417321233906386,0.517042037967412,0.114743047569747,9.99960864447989e-07,0.0973196083992009,0.537721584421167,1.99979290517432,0.550745590358403,0.80924968279017
4,1607.43211648408,"Successful completion",0.0199153883863569,0.99577458552818,0.412753324714146,0.788719034855567,0.114632565779777,6.47970106885836e-08,0.101254603711069,0.50503640540323,1.4860400743685,0.544618863437579,1.97037460544908
5,1863.99407338166,"Successful completion",0.0199977568767302,0.995395900562187,0.599973702894745,2.73059624235417e-05,0.0596655774265394,9.99999896163093e-07,0.0955586260627402,0.500102955542467,1.55035306726234,0.893492033972717,1.55879965158446
6,1444.16429749078,"Maximum number of evaluations exceeded",0.00664428432790963,0.995742995638576,0.414444162085887,0.404902516378084,0.0439021911477971,9.99999999981953e-07,0.0967735323614403,0.503540973632739,1.51196337874016,0.532623899615194,0.81833313533918
7,1443.00728986321,"Successful completion",0.00485120727890678,0.995701250627731,0.414801656240655,0.385451220464716,0.0336651168925247,9.99999516660229e-07,0.0957991354824865,0.5044186135832,1.49923159577269,0.526253670919485,0.840187461405236
8,1577.21966583231,"Successful completion",0.00297975530515668,0.995777831525654,0.400086134476368,0.342015323773334,0.0280530280121845,6.89710423805119e-07,0.0938894628968124,0.50000266518012,1.48630944421766,0.515046031878933,1.99431998964666
9,1461.58907872031,"Successful completion",0.02,0.995675395509263,0.420117977072859,0.522736750869516,0.114235372403975,2.43172388186e-07,0.102113781173473,0.500001363147925,1.53167915961013,0.547840720237722,0.826914883520232
10,1627.11739557681,"Maximum number of evaluations exceeded",0.00514523762516787,0.995639819296293,0.599981408682961,0.362153931644793,0.0231425464624481,6.6995233871737e-09,0.0556842685491725,1.67659397420861,1.50180344146016,0.768875171099627,0.923903154409377
11,1541.70207204048,"Successful completion",0.0194756334065183,0.995579661840483,0.40937183803482,0.998806583027317,0.103739458919203,9.99999999999993e-07,0.0986863972824778,0.50000040346784,1.9991537213617,0.545092911048433,0.996720117783118
12,1637.96295857995,"Successful completion",0.0161211453790226,0.995566631697625,0.599999970682552,0.440210895311655,0.0588848407828,3.35276772451467e-09,0.0518133926825641,3.2121411902901,1.54340215004572,0.78215996302145,0.902158813747628
13,1470.69825486193,"Successful completion",0.00521090810784684,0.995700829872281,0.414580872932256,0.389259399535342,0.0356345953160208,9.17242090505114e-07,0.0918647405420241,0.538349863260417,1.99997537485974,0.529193844593943,0.831173214911005
14,1452.9838874414,"Successful completion",0.00291337216379628,0.99600311879059,0.418902228797249,0.375100236782568,0.0220316765298739,4.6954598764832e-09,0.0436194038102815,3.99988024157601,1.51236744878516,0.54894258248833,0.811576663443493
15,1611.31763003568,"Successful completion",0.0197893156356074,0.994911359526665,0.401432455671515,0.636406671068046,0.598372937239434,8.12201331610174e-07,0.0678514554763676,3.99421388260237,1.87110132856584,0.592797317902704,1.06126103074219
16,1741.77670598449,"Successful completion",0.00408920697711328,0.995527492862059,0.6,0.275471036657834,0.0256908183030907,9.99999875898518e-07,0.0892300168794699,0.50961810501049,1.50563646387527,0.754628922120558,1.99996529965042
17,1653.0314088553,"Successful completion",0.019999999424158,0.995813708823271,0.410426164429989,0.542370234379483,0.133224409702445,4.03787380350053e-09,0.051426422386835,4,1.99999999483116,0.569939803774599,1.99998271921644
18,1462.57350334441,"Maximum number of evaluations exceeded",0.00101682998513561,0.994794495060575,0.400000000002234,0.312389025718085,0.014243497143811,2.11550819187977e-08,0.0607036515241441,1.18564938997397,1.54140099176066,0.533559792866736,0.838380831569795
