"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","a","b","r","tau","sigma_prev","sigma_g","sigma_q"
1,-464.803904652523,"Successful completion",0.0173541603487388,0.989661648869423,0.488286403412887,0.275875311031382,0.346801942069431,9.99961474662591e-07,0.101716146435506,0.83645051101401,0.55074709990319,0.0863126091364505,0.272531323647466,1.94465714474551
2,776.27593481894,"Successful completion",0.00327858925106992,0.98659618019294,0.500898486342902,0.450343109587295,0.497181925622205,9.91694811132905e-07,0.117763433373256,0.74272212721818,0.589347024079752,1.99996119752173,0.23720302246016,0.649571305563181
3,-412.87585587087,"Successful completion",0.0199998803844002,0.989670985021736,0.49562930424936,0.270993846556125,0.348947519067236,9.62462434209108e-07,0.0998148419599078,0.805906808136672,0.556018678713235,0.0862332087406733,0.271847304995532,1.99975395794541
4,808.395365352632,"Successful completion",0.0199999997009095,0.951333635613231,0.502265812762678,0.579266861272666,0.64547677983832,2.1737424589729e-09,0.199005100693962,1.40142755693466,1.77433661379017,1.99999999998837,0.242081050134994,1.99999999882605
5,-672.910721320278,"Successful completion",0.0199956819166873,0.990651137621567,0.510825387659678,0.000143779704641066,0.00243928425547486,1.40576048694731e-08,0.108532710368408,4.99999955838012,0.511177246523015,0.0940636649344089,0.151872242180417,0.219389043879517
6,585.70171376543,"Stagnation in Nelder-Mead",0.00100485732090643,0.95009473959359,0.496714649022119,0.615322247233491,0.643380913770208,9.99415487410179e-07,0.132105036504366,0.753243154858716,0.950783519911822,0.840541362811732,0.237012185510641,1.99978786511083
7,-816.403585714741,"Successful completion",0.00529100225640806,0.992794106261734,0.498882351777494,0.0945828563556583,0.0133795178096572,9.99205265043299e-07,0.0539854919600915,1.86042185799448,1.07635205242341,0.277788061441871,0.038939267232276,1.34625066096775
8,-498.699687503192,"Successful completion",0.0150630828310851,0.989646760441649,0.496082629020111,0.276792968789492,0.34864692676496,8.6759941660054e-07,0.0956307971268754,0.812974236318061,0.605296604998795,0.079468584388937,0.257541444621444,1.99998768078399
9,-220.65016224518,"Maximum number of evaluations exceeded",0.0146664703052542,0.990072801849722,0.503664769471352,0.0654319921504963,0.240947680221894,4.61662460368515e-08,0.111325585231321,4.99977383944731,0.500000005572653,0.0965970527815186,0.373605357696686,1.58163589425866
10,621.287273543658,"Successful completion",0.0199999726028445,0.988557200969773,0.449058171721222,0.402924064938369,0.433390134393344,9.37260417044567e-07,0.0568467325062233,3.35786663265472,3.95730754769269,0.839034079984764,0.266489675562402,0.720403442504459
11,486.512266952956,"Successful completion",0.0199273999171617,0.990041026243986,0.599566278525245,0.0108004834556698,0.336240857979526,9.95507352944042e-07,0.102506156579032,4.97578816173453,0.500304601602245,0.124053336202681,1.99968959130758,1.44303001524615
12,-987.346056445353,"Successful completion",0.00796334895797176,0.991187738958253,0.498294974073491,0.113455069981143,0.0152929882298185,9.99999999942342e-07,0.0909432863558296,3.13009798861948,0.572814673382901,0.182451790523567,0.0412628122117347,0.00998403594624908
13,-230.371170706008,"Successful completion",0.0199999999999661,0.990201824081592,0.400784839660696,0.297123011735315,0.337816907576599,9.99972193379615e-07,0.110687338780916,0.874019098831878,0.500000317784283,0.0927959864465629,0.392585019026442,1.96011385393497
14,386.693180605541,"Successful completion",0.00100000518970625,0.950000000208186,0.495511999941256,0.811307211275998,0.830160400137815,1.31656521382899e-08,0.199952887827994,0.781924503574583,3.99981793661082,0.501124290520655,0.261456313378557,2
15,362.855994822032,"Successful completion",0.00301096540089141,0.950000000048136,0.499040051879736,0.805678845445667,0.827469205959004,1.22761217140194e-08,0.190803167729792,0.797096820138452,4,0.480050096176488,0.262094951204191,0.00100013108413684
16,-236.71769945598,"Successful completion",0.0119382122774266,0.989634760950067,0.482863750854015,0.145042602222168,0.23060497891032,9.99999970210916e-07,0.114385758616221,4.99999999999493,0.501141882200626,0.118906687626422,0.296598577811801,0.00101533174987438
17,-250.293967262836,"Successful completion",0.0148677902241491,0.9913421785492,0.4,0.0147898074381729,0.0162377743585112,2.01131109180027e-08,0.108668650327998,4.99999997459681,0.500492264976411,0.0968190117305076,0.358644582321344,0.00105994354683697
18,-650.235935532619,"Maximum number of evaluations exceeded",0.0125249866627374,0.990906930677018,0.515296131520884,0.00344237016508948,0.00240681729923779,1.77157018615457e-08,0.0968719377276578,3.8083475261473,0.586310787970451,0.114048441201526,0.126658027183022,1.99942084960588
19,70.7670557814307,"Successful completion",0.0125300836747537,0.983814238678357,0.592106023975237,0.496861308220858,0.567062419110523,1.33426942790872e-07,0.157667415623014,0.743178407534348,0.513018220125626,0.169182775829811,0.344899836672476,1.60604606279101
20,1315.70072661494,"Successful completion",0.0193273061606658,0.950001973110835,0.499592013320113,0.919739460853283,0.999984237947279,6.19543835875404e-09,0.197569048019804,4.96155677569199,3.30954195139586,1.92711784591739,0.380477117275694,1.99993728931804
21,-243.5840798771,"Successful completion",0.0169695136345404,0.989547759268788,0.483623176099193,0.157491045437499,0.2668866276935,9.88329164587442e-09,0.0905450372315292,4.99994341801596,0.917864141862814,0.12064087776353,0.288745847935774,0.0355867034926859
22,135.097848398031,"Successful completion",0.00819169116416078,0.986641549389975,0.596988664169204,0.236123833423688,0.334540191607708,9.99999849703784e-07,0.1106706216065,4.99733984563363,0.607300576909243,0.191441628921074,0.401712147168518,1.97355600850829
23,-184.574427959086,"Successful completion",0.0199978580883125,0.989293075571296,0.599815486433145,0.225168916584013,0.342964515547768,9.99967294419147e-07,0.094139203710365,0.809702617958929,0.571922124599418,0.0980456040394568,0.406644800644943,1.9474943293694
24,721.189097714746,"Successful completion",0.0199999810150046,0.984526142812132,0.400001528201761,0.426449966675629,0.483116738139952,1.08178069710096e-09,0.199999613030634,4.99975072596333,1.1464187800382,0.636192058844757,0.413405776470794,0.00227478836827072
25,-567.729601012691,"Successful completion",0.0199963510470441,0.99165705137852,0.500970304699113,0.999816471652264,0.00332022035865,4.85595996188638e-09,0.0623719210543742,4.7781077266019,1.7618083204019,0.153771114984076,0.116648158873246,1.92899992534536
26,-52.5333949707404,"Successful completion",0.017630379273759,0.990408831102199,0.531157549421848,0.999999966700847,3.65116699297331e-13,9.94484561707743e-07,0.104012358268611,4.99947382945336,0.500339436489231,0.223598766735056,0.235628515839345,1.41515807453155
27,-173.72919389408,"Maximum number of evaluations exceeded",0.0145751920459485,0.990576643861718,0.400032228677988,0.11770029614047,0.190428395154807,2.89855531504624e-08,0.111099679128824,4.99999960594754,0.53566289690715,0.097241258083304,0.41746349432943,0.0283310880827937
28,-356.483934912472,"Successful completion",0.0199999183995993,0.989200066887405,0.489353646994632,0.117913629950766,0.312543404447762,1.44172411158024e-09,0.144222693447031,1.16189676088368,3.99974665054967,0.0927578213481595,0.300343631147512,0.001
29,816.210569210611,"Successful completion",0.0199999999221964,0.966570738212095,0.492389173765674,0.713013230301691,0.751290914088061,9.88388149574022e-07,0.169538350735189,0.737986997646489,0.736298403703817,1.94877084331558,0.257238618253373,0.00100000000000003
30,1004.12230695309,"Successful completion",0.0199998402355659,0.950137610598512,0.400000000374033,0.789628538151773,0.807358305416246,5.82080963284703e-08,0.175936924927478,0.738822411614909,1.71108175460673,1.99999999970472,0.37579001790665,0.00100602148366585
31,634.575828742821,"Successful completion",0.0199999894187283,0.950454499850377,0.492531390514647,0.732471415884354,0.756574866865667,9.99999790998062e-07,0.0970358075026431,0.737107085577429,3.99999999999997,0.784678700064234,0.284406218396816,0.0010000000000001
32,-105.695510057943,"Successful completion",0.0199999993632525,0.988947554399776,0.489171842596901,0.208037221834002,0.286502914788229,8.1623597932571e-07,0.118219321312446,4.85404722888547,0.514028572315287,0.169382340822765,0.278967895298913,1.99513457886851
